Year,Month,Monthly average UV irradiance at noon (mW/m2)
2005,1,44
2005,2,65
2005,3,114
2005,4,165
2005,5,200
2005,6,223
2005,7,262
2005,8,232
2005,9,178
2005,10,127
2005,11,73
2005,12,40
2006,1,51
2006,2,92
2006,3,98
2006,4,149
2006,5,215
2006,6,233
2006,7,249
2006,8,227
2006,9,181
2006,10,116
2006,11,66
2006,12,44
2007,1,55
2007,2,74
2007,3,134
2007,4,173
2007,5,223
2007,6,246
2007,7,254
2007,8,234
2007,9,177
2007,10,124
2007,11,79
2007,12,45
2008,1,41
2008,2,83
2008,3,146
2008,4,191
2008,5,216
2008,6,251
2008,7,253
2008,8,232
2008,9,188
2008,10,124
2008,11,71
2008,12,43
2009,1,59
2009,2,72
2009,3,133
2009,4,181
2009,5,220
2009,6,218
2009,7,258
2009,8,226
2009,9,192
2009,10,119
2009,11,73
2009,12,42
2010,1,42
2010,2,65
2010,3,120
2010,4,145
2010,5,182
2010,6,226
2010,7,246
2010,8,225
2010,9,186
2010,10,114
2010,11,72
2010,12,42
2011,1,57
2011,2,83
2011,3,109
2011,4,184
2011,5,208
2011,6,222
2011,7,259
2011,8,237
2011,9,184
2011,10,128
2011,11,70
2011,12,49
2012,1,56
2012,2,82
2012,3,117
2012,4,175
2012,5,230
2012,6,243
2012,7,251
2012,8,233
2012,9,188
2012,10,125
2012,11,69
2012,12,41
2013,1,57
2013,2,88
2013,3,138
2013,4,197
2013,5,210
2013,6,234
2013,7,247
2013,8,220
2013,9,180
2013,10,122
2013,11,78
2013,12,54
2014,1,58
2014,2,73
2014,3,127
2014,4,180
2014,5,218
2014,6,244
2014,7,246
2014,8,219
2014,9,186
2014,10,130
2014,11,76
2014,12,40
2015,1,59
2015,2,85
2015,3,137
2015,4,179
2015,5,186
2015,6,237
2015,7,227
2015,8,223
2015,9,177
2015,10,127
2015,11,72
2015,12,43
