A_air,DELAY,GCD,HeadingDegree,Dep_Hub,Arr_Hub,Weekday,Spring,Summer,Fall,Winter,Dep_congestion,Arr_congestion
92,2,732.129795,-11,0,0,1,1,0,0,0,0.631578947,0.8
269,4,1907.434669,-36,1,0,0,1,0,0,0,0.583333333,0.1875
156,57,1033.925949,-14,0,1,1,0,0,1,0,0.04,0.517241379
266,19,2309.121858,42,0,1,0,0,0,0,1,1,0.347826087
292,19,2362.776046,42,0,0,1,0,1,0,0,0.705882353,0.333333333
137,16,989.849845,4,0,1,1,0,1,0,0,0.636363636,0.882352941
43,7,299.155133,-2,0,0,0,0,0,0,1,0.384615385,0.5
106,34,929.47781,16,0,0,1,0,0,0,1,0.347826087,0.875
113,43,908.840734,17,0,1,0,0,0,0,1,0.172413793,0.785714286
249,44,2055.947818,34,1,1,1,0,1,0,0,0.5,0.263157895
98,21,646.146436,-6,1,0,1,0,0,0,1,1,0.666666667
160,14,990.948482,-18,1,0,1,0,0,0,1,0.25,0.214285714
163,10,1118.837186,-10,0,0,0,0,0,1,0,0.454545455,0.5
140,6,1118.837186,10,0,0,0,0,0,0,1,0.428571429,0.25
202,16,1460.052292,-28,1,1,1,0,1,0,0,1.157894737,0.352941176
89,20,620.091504,7,1,0,0,0,0,1,0,1.142857143,0.25
367,13,2598.27683,-42,0,0,1,0,0,0,1,0.533333333,1.076923077
211,25,1593.357952,-30,1,1,1,0,0,0,1,0.5,0.533333333
126,14,989.849845,4,0,1,1,0,0,0,1,0.4,0.647058824
43,42,173.11296,2,0,0,1,0,0,1,0,1.125,1.111111111
146,11,995.353239,-16,0,1,0,0,0,0,1,0.526315789,0.931034483
39,1,216.302988,1,0,0,1,0,0,0,1,0.473684211,0.888888889
59,10,357.179769,4,0,1,0,0,0,0,1,0.769230769,1
98,24,651.284339,9,1,0,0,0,1,0,0,0.962962963,0.466666667
232,15,1986.855783,35,1,0,1,0,1,0,0,0.866666667,0.625
91,16,510.03799,-3,1,0,1,0,0,1,0,0.8125,0.666666667
75,6,468.377617,-8,0,1,1,0,0,0,1,0.166666667,0.5
97,35,621.840567,0,1,0,1,0,0,1,0,1.0625,0.428571429
209,15,1786.762313,31,1,1,1,0,1,0,0,0.705882353,0.896551724
54,12,351.782544,4,0,0,0,0,0,0,1,0.583333333,0.4
109,6,832.59334,10,0,1,1,0,0,1,0,0.318181818,0.571428571
81,11,620.091504,-7,1,1,1,0,0,0,1,0.444444444,0.75
76,11,468.377617,-8,0,0,0,0,1,0,0,0.615384615,0.1
138,21,1042.246987,2,0,0,1,1,0,0,0,0.35,0.647058824
147,15,1112.807978,-7,1,0,1,0,0,0,1,1.090909091,0.888888889
120,33,960.346396,6,0,0,1,0,0,0,1,0.56,0.4375
113,12,876.071914,15,1,1,1,0,0,1,0,0.2,0.689655172
58,12,351.782544,-4,0,1,1,0,1,0,0,1.454545455,0.6
200,13,1541.888517,-25,1,1,1,0,1,0,0,0.47826087,0.6
169,5,1324.755315,-11,0,0,1,1,0,0,0,0.1875,0.5
81,16,565.253694,2,0,1,1,0,1,0,0,0.1875,0.947368421
49,17,357.179769,4,0,0,1,0,0,0,1,0.9,0.647058824
109,8,760.200443,-13,1,0,1,0,1,0,0,0.5,1.181818182
108,17,861.040268,9,1,1,1,0,1,0,0,0.689655172,0.5
42,-2,299.155133,-2,1,0,1,0,0,0,1,0.5,0.333333333
175,42,1258.858834,-24,1,0,0,0,0,0,1,0.52,0
51,7,295.111722,4,1,0,1,0,1,0,0,0.333333333,0.5
96,21,651.284339,9,1,0,0,0,0,0,1,0.851851852,0.384615385
77,11,571.590207,10,1,0,0,0,0,1,0,0.96,0.222222222
209,6,1440.927064,-13,0,1,1,1,0,0,0,0.615384615,0.642857143
188,41,1386.948064,-23,1,1,1,0,0,0,1,0.65,1.714285714
79,42,571.590207,10,0,0,1,1,0,0,0,0.36,1
80,5,609.300452,-8,0,1,0,1,0,0,0,0.5,0.575757576
83,6,576.897383,3,0,1,1,0,0,1,0,0.88,0.363636364
36,6,216.302988,-1,0,0,1,0,0,1,0,0.866666667,0.285714286
244,14,2167.984454,38,1,1,0,1,0,0,0,0.388888889,0.347826087
56,11,265.912564,3,1,0,1,1,0,0,0,0.375,0.666666667
52,33,357.179769,4,0,0,1,0,0,1,0,0.636363636,0.764705882
103,6,615.651481,-12,0,0,1,0,1,0,0,0.454545455,0.111111111
51,17,357.179769,-4,1,1,1,0,0,0,1,0.555555556,0.538461538
76,13,576.897383,3,0,1,1,1,0,0,0,1.12,0.333333333
87,18,576.897383,3,0,1,1,0,0,1,0,1.285714286,0.7
142,11,847.40384,-3,0,0,0,0,0,0,1,0.625,0.428571429
56,12,317.942589,-5,1,0,0,0,0,0,1,0.518518519,0
134,8,890.387126,-15,1,0,1,1,0,0,0,0.8,0.142857143
159,51,1060.574013,-18,0,0,1,0,0,0,1,0.620689655,0.916666667
75,13,523.519563,7,1,0,1,0,0,0,1,0.666666667,0.888888889
143,18,1112.807978,7,0,1,1,0,1,0,0,0.866666667,0.545454545
131,7,988.067443,-18,0,0,1,0,1,0,0,0.428571429,1
63,7,388.846635,-3,1,1,0,1,0,0,0,0.368421053,0.333333333
264,9,2313.186756,41,1,1,0,0,1,0,0,0.9375,0.5
240,25,1886.742458,-35,1,1,1,0,0,1,0,0.92,0.538461538
65,22,420.795085,6,0,0,0,1,0,0,0,0.75,1.272727273
97,33,615.651481,-12,0,1,1,0,1,0,0,0.846153846,0.833333333
101,44,732.129795,-11,1,0,1,0,1,0,0,0.210526316,0.5
103,47,735.602365,-10,0,1,1,0,1,0,0,1,0.424242424
189,55,1460.23117,25,0,0,0,0,0,1,0,0.6,0.344827586
74,21,523.519563,-7,0,1,1,0,0,1,0,0.222222222,0.387096774
96,13,732.129795,-11,1,0,1,0,1,0,0,0.263157895,0.454545455
133,10,1106.14354,17,1,0,1,0,0,0,1,0.695652174,0
100,19,737.983952,14,0,0,1,0,1,0,0,0.52,0.777777778
179,41,1411.273186,21,1,1,1,1,0,0,0,0.666666667,0.8
350,13,2565.527733,-42,0,0,1,1,0,0,0,0.583333333,1.111111111
39,12,173.11296,2,0,0,1,0,1,0,0,0.5,0.727272727
151,36,1065.688198,-18,0,0,0,0,0,0,1,1.043478261,0.818181818
126,17,884.177395,-14,1,0,1,0,0,1,0,0.413793103,0.823529412
259,9,1830.391981,-32,1,1,1,0,0,1,0,0.875,1.1
44,33,255.35434,4,0,0,1,0,1,0,0,0.5,0.9
259,18,1756.535367,-32,1,0,0,0,0,1,0,0.6,0.833333333
145,13,1093.062754,-6,0,0,1,0,1,0,0,0.9,0.444444444
280,12,1932.088676,-39,1,0,1,0,0,1,0,0.375,0.916666667
56,14,379.434596,7,0,0,1,0,0,0,1,0.421052632,0.666666667
95,26,609.300452,-8,1,1,0,0,0,1,0,0.535714286,1.2
118,9,884.177395,14,0,0,1,0,0,0,1,0.941176471,0.266666667
138,28,1047.995729,7,0,0,0,0,1,0,0,0.25,1.222222222
232,17,1593.357952,-30,1,1,1,0,0,1,0,1.1,0.666666667
115,9,989.849845,4,0,1,1,0,0,1,0,0.727272727,0.705882353
116,8,990.948482,18,1,0,1,1,0,0,0,0.176470588,0.846153846
97,16,623.223317,-7,1,0,1,0,0,0,1,0.2,0
247,26,2071.386239,40,1,0,1,0,1,0,0,1.5,0.8
123,24,999.833697,17,1,1,1,0,0,1,0,0.52173913,0.9375
106,8,674.798205,-8,1,0,0,1,0,0,0,0.611111111,0
80,5,609.300452,-8,0,0,1,0,0,0,1,0.535714286,0.611111111
193,16,1769.842435,31,0,1,1,0,0,0,1,0.833333333,0.787878788
75,4,487.219009,1,0,1,1,0,0,1,0,0.368421053,0.869565217
92,18,760.200443,13,1,0,0,0,0,0,1,0.92,0.545454545
123,33,735.602365,-10,0,1,1,0,0,0,1,0.888888889,1
285,13,2229.602875,41,0,1,1,1,0,0,0,0.75,1
152,22,1258.745502,20,0,1,1,0,1,0,0,0.833333333,0.5
57,29,357.179769,4,0,1,0,0,1,0,0,0.727272727,0.928571429
103,20,735.602365,-10,1,0,0,0,1,0,0,1.1,0.484848485
41,17,268.566588,-3,0,1,1,1,0,0,0,0.666666667,1
80,22,609.300452,8,1,0,1,0,1,0,0,0.666666667,0.555555556
187,19,1460.23117,-25,1,0,0,0,0,1,0,1.19047619,0.615384615
